datetime,activity
2022/9/29 15:28,sitting
2022/9/29 18:01,using_computer
2022/9/29 18:08,bathroom
2022/9/29 18:19,using_computer
2022/9/29 20:24,walking
2022/9/29 20:46,sitting
2022/9/29 20:47,eating
2022/9/29 21:22,sitting
2022/9/29 22:08,lying
2022/9/29 22:42,bathroom
2022/9/29 22:57,walking
2022/9/29 23:05,using_computer
2022/9/30 16:30,walking
2022/9/30 16:50,sitting
2022/9/30 22:52,using_computer
2022/10/1 16:53,walking
2022/10/1 16:55,sitting
2022/10/1 17:10,walking
2022/10/1 17:13,driving
2022/10/1 17:26,walking
2022/10/1 17:28,sitting
2022/10/1 19:37,eating
2022/10/1 20:25,sitting
2022/10/1 22:10,driving
2022/10/1 22:24,walking
2022/10/1 22:26,sitting
2022/10/1 23:21,walking
2022/10/2 12:42,walking
2022/10/2 12:44,driving
2022/10/2 13:01,walking
2022/10/2 13:34,driving
2022/10/2 13:54,walking
2022/10/2 13:56,sitting
2022/10/2 14:02,eating
2022/10/2 14:35,bathroom
2022/10/2 14:42,sitting
2022/10/2 16:09,lying
2022/10/2 16:19,walking
2022/10/2 16:23,driving
2022/10/2 16:43,walking
2022/10/2 16:49,sitting
2022/10/2 19:46,walking
2022/10/2 19:53,driving
2022/10/2 20:18,walking
2022/10/2 20:19,sitting
2022/10/2 20:34,driving
2022/10/2 20:52,walking
2022/10/2 20:54,using_computer
2022/10/3 20:01,using_computer
2022/10/4 14:27,lying
2022/10/4 18:35,walking
2022/10/4 18:38,bathroom
2022/10/4 18:39,walking
2022/10/4 18:46,riding
2022/10/4 18:58,walking
2022/10/4 19:17,sitting
2022/10/4 19:31,walking
2022/10/4 19:37,riding
2022/10/4 19:49,walking
2022/10/4 19:51,eating
2022/10/4 20:33,sitting
2022/10/4 20:19,bathroom
2022/10/4 20:45,using_computer
2022/10/5 08:17,walking
2022/10/5 08:34,standing
2022/10/5 08:41,walking
2022/10/5 08:46,sitting
2022/10/5 08:47,eating
2022/10/5 09:04,sitting
2022/10/5 10:16,lying
2022/10/5 14:49,walking
2022/10/5 14:53,driving
2022/10/5 15:17,walking
2022/10/5 15:26,using_computer
2022/10/5 15:48,bathroom
2022/10/5 15:55,using_computer
2022/10/5 18:05,walking
2022/10/5 18:22,sitting
2022/10/5 18:35,walking
2022/10/5 18:46,eating
2022/10/5 19:37,sitting
